name,confederation,group_name,fifa_rank
Algeria,CAF,J,28
Argentina,CONMEBOL,J,3
Australia,AFC,D,27
Austria,UEFA,J,24
Belgium,UEFA,G,9
Bosnia and Herzegovina,UEFA,B,65
Brazil,CONMEBOL,C,6
Cabo Verde,CAF,H,69
Canada,CONCACAF,B,30
Colombia,CONMEBOL,K,13
Congo DR,CAF,K,46
Côte d'Ivoire,CAF,E,34
Croatia,UEFA,L,11
Curaçao,CONCACAF,E,82
Czechia,UEFA,A,41
Ecuador,CONMEBOL,E,23
Egypt,CAF,G,29
England,UEFA,L,4
France,UEFA,I,1
Germany,UEFA,E,10
Ghana,CAF,L,74
Haiti,CONCACAF,C,83
IR Iran,AFC,G,21
Iraq,AFC,I,57
Japan,AFC,F,18
Jordan,AFC,J,63
Korean Republic,AFC,A,25
Mexico,CONCACAF,A,15
Morocco,CAF,C,8
Netherlands,UEFA,F,7
New Zealand,OFC,G,85
Norway,UEFA,I,31
Panama,CONCACAF,L,33
Paraguay,CONMEBOL,D,40
Portugal,UEFA,K,5
Qatar,AFC,B,55
Saudi Arabia,AFC,H,61
Scotland,UEFA,C,43
Senegal,CAF,I,14
South Africa,CAF,A,60
Spain,UEFA,H,2
Sweden,UEFA,F,38
Switzerland,UEFA,B,19
Tunisia,CAF,F,44
Türkiye,UEFA,D,22
United States,CONCACAF,D,16
Uruguay,CONMEBOL,H,17
Uzbekistan,AFC,K,50